accession	description
"BAB83992"	"Fagus crenata (Japanese beech) maturase"
"BAB83997"	"Fagus crenata (Japanese beech) maturase"
"BAB83998"	"Fagus crenata (Japanese beech) maturase"
"BAB83991"	"Fagus crenata (Japanese beech) maturase"
"BAB83999"	"Fagus crenata (Japanese beech) maturase"
"BAB83994"	"Fagus crenata (Japanese beech) maturase"
"BAB84003"	"Fagus crenata (Japanese beech) maturase"
"BAB83993"	"Fagus crenata (Japanese beech) maturase"
"QNU39830"	"Fagus crenata (Japanese beech) PetD"
"BAB84002"	"Fagus crenata (Japanese beech) maturase"
"BAB84001"	"Fagus crenata (Japanese beech) maturase"
"QNU39825"	"Fagus crenata (Japanese beech) PetB"
"BAB84000"	"Fagus crenata (Japanese beech) maturase"
"QNU39802"	"Fagus crenata (Japanese beech) Ycf2"
"QNU39835"	"Fagus crenata (Japanese beech) CcsA"
"BAB83995"	"Fagus crenata (Japanese beech) maturase"
"BAB83996"	"Fagus crenata (Japanese beech) maturase"
"QNU39803"	"Fagus crenata (Japanese beech) Ycf2"
"QNU39804"	"Fagus crenata (Japanese beech) Ycf1"
"ANS59132"	"Fagus crenata (Japanese beech) partial AtpB"
"AMB61521"	"Fagus crenata (Japanese beech) maturase K"
"WXH78783"	"Fagus crenata (Japanese beech) cytochrome b6"
"WPW47952"	"Fagus crenata (Japanese beech) cytochrome f"
"WPW47921"	"Fagus crenata (Japanese beech) maturase K"
"WPW47969"	"Fagus crenata (Japanese beech) cytochrome b6"
"WPW48051"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH78735"	"Fagus crenata (Japanese beech) maturase K"
"WXH78899"	"Fagus crenata (Japanese beech) maturase K"
"WXH78947"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH78817"	"Fagus crenata (Japanese beech) maturase K"
"WPW47788"	"Fagus crenata (Japanese beech) cytochrome f"
"WPW48133"	"Fagus crenata (Japanese beech) cytochrome b6"
"WPW47887"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH79029"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXG25870"	"Fagus crenata (Japanese beech) maturase K"
"BAP28175"	"Fagus crenata (Japanese beech) polyubiquitin 10"
"AMB61520"	"Fagus crenata (Japanese beech) maturase K"
"BAI48048"	"Fagus crenata (Japanese beech) partial MYBFL30"
"BAI48045"	"Fagus crenata (Japanese beech) partial MYB179C"
"BAB69837"	"Fagus crenata (Japanese beech) partial maturase"
"AAK83671"	"Fagus crenata (Japanese beech) partial maturase"
"WPW48003"	"Fagus crenata (Japanese beech) maturase K"
"WPW48116"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH78848"	"Fagus crenata (Japanese beech) cytochrome f"
"UWV66533"	"Fagus crenata (Japanese beech) partial phyA"
"QBB88663"	"Fagus crenata (Japanese beech) cytochrome b6"
"BAI48044"	"Fagus crenata (Japanese beech) partial MYB282"
"BDE63359"	"Fagus crenata (Japanese beech) partial maturase"
"BDE63193"	"Fagus crenata (Japanese beech) partial maturase"
"WPW47805"	"Fagus crenata (Japanese beech) cytochrome b6"
"BDE63074"	"Fagus crenata (Japanese beech) partial maturase"
"BDE63527"	"Fagus crenata (Japanese beech) partial maturase"
"AAK83678"	"Fagus crenata (Japanese beech) partial maturase"
"QBB88616"	"Fagus crenata (Japanese beech) maturase K"
"BDE64499"	"Fagus crenata (Japanese beech) partial maturase"
"QBB88646"	"Fagus crenata (Japanese beech) cytochrome f"
"BDE62628"	"Fagus crenata (Japanese beech) partial maturase"
"AMB61522"	"Fagus crenata (Japanese beech) maturase K"
"ANS59128"	"Fagus crenata (Japanese beech) partial AtpB"
"BDE62131"	"Fagus crenata (Japanese beech) partial maturase"
"BDE62816"	"Fagus crenata (Japanese beech) partial maturase"
"BDE62603"	"Fagus crenata (Japanese beech) partial maturase"
"BAI48047"	"Fagus crenata (Japanese beech) partial MYB384"
"ANS59130"	"Fagus crenata (Japanese beech) partial AtpB"
"QNU39834"	"Fagus crenata (Japanese beech) cytochrome f"
"AMB61519"	"Fagus crenata (Japanese beech) maturase K"
"UWV66608"	"Fagus crenata (Japanese beech) partial phyC"
"BDE65293"	"Fagus crenata (Japanese beech) partial maturase"
"WPW47757"	"Fagus crenata (Japanese beech) maturase K"
"BAI48046"	"Fagus crenata (Japanese beech) partial MYB279"
"WXG25901"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH78701"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH79193"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH78766"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH78653"	"Fagus crenata (Japanese beech) maturase K"
"WXH79063"	"Fagus crenata (Japanese beech) maturase K"
"WXH79176"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH78981"	"Fagus crenata (Japanese beech) maturase K"
"WXH79012"	"Fagus crenata (Japanese beech) cytochrome f"
"WXG25918"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH79094"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH79145"	"Fagus crenata (Japanese beech) maturase K"
"WXH78684"	"Fagus crenata (Japanese beech) cytochrome f"
"WXH79111"	"Fagus crenata (Japanese beech) cytochrome b6"
"WPW48085"	"Fagus crenata (Japanese beech) maturase K"
"WPW47870"	"Fagus crenata (Japanese beech) cytochrome f"
"WPW48034"	"Fagus crenata (Japanese beech) cytochrome f"
"ANS59134"	"Fagus crenata (Japanese beech) partial AtpB"
"BDE64589"	"Fagus crenata (Japanese beech) partial maturase"
"QNU39820"	"Fagus crenata (Japanese beech) maturase K"
"WPW47839"	"Fagus crenata (Japanese beech) maturase K"
"WXH78865"	"Fagus crenata (Japanese beech) cytochrome b6"
"WXH78930"	"Fagus crenata (Japanese beech) cytochrome f"
"QLI47109"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"ANV28308"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QNU39822"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"QNU39848"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW48059"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WPW47962"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79125"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH78660"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WPW47890"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW47836"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79021"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WPW48092"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WPW47999"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48050"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"WPW48141"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WPW47796"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78997"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXH78791"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WXH78812"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48149"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW48081"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78875"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH78713"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78705"	"Fagus crenata (Japanese beech) ribosomal protein L36"
