accession	description
"OR818324"	"Fagus crenata chloroplast, complete genome."
"OR818326"	"Fagus crenata chloroplast, complete genome."
"MH171101"	"Fagus crenata chloroplast, complete genome."
"OR818325"	"Fagus crenata chloroplast, complete genome."
"OR818327"	"Fagus crenata chloroplast, complete genome."
"OR818328"	"Fagus crenata chloroplast, complete genome."
"AJ586321"	"Fagus crenata microsatellite DNA, clone 1063"
"MT728474"	"UNVERIFIED: Fagus crenata isolate 463_2 sequence."
"AJ586320"	"Fagus crenata microsatellite DNA, clone 0488"
"MT728469"	"UNVERIFIED: Fagus crenata isolate 434_1 sequence."
"AJ586309"	"Fagus crenata microsatellite DNA, clone 0007"
"AJ586316"	"Fagus crenata microsatellite DNA, clone 0289"
"MT728471"	"UNVERIFIED: Fagus crenata isolate 448_1 sequence."
"MT728472"	"UNVERIFIED: Fagus crenata isolate 448_2 sequence."
"AJ586323"	"Fagus crenata microsatellite DNA, clone 1143"
"AJ586319"	"Fagus crenata microsatellite DNA, clone 0378"
"AJ586313"	"Fagus crenata microsatellite DNA, clone 0146"
"AB063529"	"Fagus crenata chloroplast trnL gene, intron."
"AJ586318"	"Fagus crenata microsatellite DNA, clone 0360"
"AJ586312"	"Fagus crenata microsatellite DNA, clone 0109"
"AJ586314"	"Fagus crenata microsatellite DNA, clone 0161"
"AJ586310"	"Fagus crenata microsatellite DNA, clone 0018"
"AJ586317"	"Fagus crenata microsatellite DNA, clone 0305"
"AJ586322"	"Fagus crenata microsatellite DNA, clone 1105"
"AJ586311"	"Fagus crenata microsatellite DNA, clone 0036"
"AJ586315"	"Fagus crenata microsatellite DNA, clone 0195"
"MT728470"	"UNVERIFIED: Fagus crenata isolate 434_2 sequence."
"MT728473"	"UNVERIFIED: Fagus crenata isolate 463_1 sequence."
"AY042404"	"Fagus crenata 4 atbB-rbcL intergenic spacer."
"MT762292"	"Fagus crenata isolate KTJP chloroplast, complete genome."
"AB063553"	"Fagus crenata chloroplast DNA, trnL-trnF spacer."
"AY042411"	"Fagus crenata 3 atbB-rbcL intergenic spacer."
"OR807730"	"Fagus crenata isolate SADO_86 chloroplast, complete genome."
"OR807729"	"Fagus crenata isolate HAYA_35 chloroplast, complete genome."
"LC568714"	"Fagus crenata FN106 chloroplast trnL gene, intron region."
"AB499731"	"Fagus crenata FcMYB282 gene for MYB282, partial cds."
"AB499735"	"Fagus crenata FcMYBFL30 mRNA for MYBFL30, partial cds."
"AB499732"	"Fagus crenata FcMYB179C gene for MYB179C, partial cds."
"AB124943"	"Fagus crenata chloroplast DNA, atpB-rbcL spacer region."
"AB499734"	"Fagus crenata FcMYB384 gene for MYB384, partial cds."
"AB499733"	"Fagus crenata FcMYB279 gene for MYB279, partial cds."
"OR807732"	"Fagus crenata isolate HAKONE-2 chloroplast, complete genome."
"OR666470"	"Fagus crenata isolate AMAG-3_H chloroplast, complete genome."
"OR807731"	"Fagus crenata isolate IIDE-6_1 chloroplast, complete genome."
"OR807734"	"Fagus crenata isolate ISHZ-1HL chloroplast, complete genome."
"OR807733"	"Fagus crenata isolate HATO-14 chloroplast, complete genome."
"OR807735"	"Fagus crenata isolate HAKU-2_1 chloroplast, complete genome."
"AB558902"	"Fagus crenata FcMYB2602 mRNA for transcription factor, partial cds."
"KJ411270"	"UNVERIFIED: Fagus crenata clone Fc 3-1c genomic sequence."
"KJ411277"	"UNVERIFIED: Fagus crenata clone Fc 3-2d genomic sequence."
"KJ411274"	"UNVERIFIED: Fagus crenata clone Fc 3-2a genomic sequence."
"KJ411257"	"UNVERIFIED: Fagus crenata clone Fc 2-2a genomic sequence."
"OL999001"	"Fagus crenata voucher CPG22433 (PE) phyC mRNA, partial cds."
"KJ411271"	"UNVERIFIED: Fagus crenata clone Fc 3-1d genomic sequence."
"KJ411265"	"UNVERIFIED: Fagus crenata clone Fc 2-3e genomic sequence."
"KJ411267"	"UNVERIFIED: Fagus crenata clone Fc 2-3g genomic sequence."
"KJ411273"	"UNVERIFIED: Fagus crenata clone Fc 3-1f genomic sequence."
"AB558901"	"Fagus crenata FcMYB2601 mRNA for transcription factor, partial cds."
"KJ411260"	"UNVERIFIED: Fagus crenata clone Fc 2-2d genomic sequence."
"KJ411266"	"UNVERIFIED: Fagus crenata clone Fc 2-3f genomic sequence."
"KJ411272"	"UNVERIFIED: Fagus crenata clone Fc 3-1e genomic sequence."
"KJ411268"	"UNVERIFIED: Fagus crenata clone Fc 3-1a genomic sequence."
"KJ411255"	"UNVERIFIED: Fagus crenata clone Fc 2-1d genomic sequence."
"AB674454"	"Fagus crenata mRNA for LEAFY-like protein, complete cds."
"AB060058"	"Fagus crenata chloroplast matK gene for maturase, partial cds."
"KJ411264"	"UNVERIFIED: Fagus crenata clone Fc 2-3d genomic sequence."
"KJ411263"	"UNVERIFIED: Fagus crenata clone Fc 2-3c genomic sequence."
"OL998926"	"Fagus crenata voucher CPG22433 (PE) phyA mRNA, partial cds."
"KJ411269"	"UNVERIFIED: Fagus crenata clone Fc 3-1b genomic sequence."
"KJ411252"	"UNVERIFIED: Fagus crenata clone Fc 2-1a genomic sequence."
"AB775534"	"Fagus crenata UBQ10 mRNA for polyubiquitin 10, complete cds."
"OM021458"	"Fagus crenata voucher PE:CPG22433 trnL gene, intron chloroplast."
"KJ411261"	"UNVERIFIED: Fagus crenata clone Fc 2-3a genomic sequence."
"KJ411262"	"UNVERIFIED: Fagus crenata clone Fc 2-3b genomic sequence."
"KJ411276"	"UNVERIFIED: Fagus crenata clone Fc 3-2c genomic sequence."
"KJ411254"	"UNVERIFIED: Fagus crenata clone Fc 2-1c genomic sequence."
"KJ411275"	"UNVERIFIED: Fagus crenata clone Fc 3-2b genomic sequence."
"KJ411253"	"UNVERIFIED: Fagus crenata clone Fc 2-1b genomic sequence."
"KJ411258"	"UNVERIFIED: Fagus crenata clone Fc 2-2b genomic sequence."
"KJ411259"	"UNVERIFIED: Fagus crenata clone Fc 2-2c genomic sequence."
"KJ411256"	"UNVERIFIED: Fagus crenata clone Fc 2-1e genomic sequence."
"KF418849"	"Fagus crenata atpB-rbcL intergenic spacer, complete sequence plastid."
"AB043756"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC4b."
"MT727170"	"Fagus crenata isolate 448_2 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"MT727085"	"Fagus crenata isolate 448_1 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"AB500073"	"Fagus crenata FcMYBR13 mRNA for transcription factor MYBR13, partial cds."
"AB434622"	"Fagus crenata FcMYB179A gene for transcription factor MYB179A, partial cds."
"AB043751"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC1a."
"AB434629"	"Fagus crenata FcMYB295 gene for transcription factor MYB295, partial cds."
"MT727330"	"Fagus crenata isolate 434_2 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"MT728794"	"Fagus crenata isolate 448_2 pectinesterase-like (LOC115971324) gene, partial cds."
"MT728951"	"Fagus crenata isolate 448_1 hypothetical protein (LOC115958068) gene, partial cds."
"AB434650"	"Fagus crenata FcMYB558 gene for transcription factor MYB558, complete cds."
"AB434626"	"Fagus crenata FcMYB274 gene for transcription factor MYB274, partial cds."
"AB043710"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC1b."
"MT727248"	"Fagus crenata isolate 448_2 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"MT728795"	"Fagus crenata isolate 463_1 pectinesterase-like (LOC115971324) gene, partial cds."
"AB434606"	"Fagus crenata FcMYBD1 mRNA for transcription factor MYBD1, partial cds."
"AB434625"	"Fagus crenata FcMYB268 gene for transcription factor MYB268, partial cds."
"AB434632"	"Fagus crenata FcMYB418 gene for transcription factor MYB418, partial cds."
"AB434618"	"Fagus crenata FcMYBH3 mRNA for transcription factor MYBH3, partial cds."
"AB434558"	"Fagus crenata FcMYBS13 mRNA for transcription factor MYBS13, partial cds."
"AB043714"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC4b."
"AB046493"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:B."
"MT727331"	"Fagus crenata isolate 448_1 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"AB434648"	"Fagus crenata FcMYB251 gene for transcription factor MYB251, partial cds."
"MT728793"	"Fagus crenata isolate 448_1 pectinesterase-like (LOC115971324) gene, partial cds."
"AB434645"	"Fagus crenata FcMYB652 gene for transcription factor MYB652, partial cds."
"AB434636"	"Fagus crenata FcMYB330 gene for transcription factor MYB330, partial cds."
"AB434630"	"Fagus crenata FcMYB304 gene for transcription factor MYB304, partial cds."
"AB434646"	"Fagus crenata FcMYB682 gene for transcription factor MYB682, partial cds."
"AB434557"	"Fagus crenata FcMYBS12 mRNA for transcription factor MYBS12, partial cds."
"AB434573"	"Fagus crenata FcMYBP2 mRNA for transcription factor MYBP2, partial cds."
"AB500083"	"Fagus crenata FcMYBFL14 mRNA for transcription factor MYBFL14, partial cds."
"AB434613"	"Fagus crenata FcMYBD8 mRNA for transcription factor MYBD8, partial cds."
"AB434596"	"Fagus crenata FcMYBC4 mRNA for transcription factor MYBC4, partial cds."
"AB434591"	"Fagus crenata FcMYBGAP6 mRNA for transcription factor MYBGAP6, partial cds."
"AB046494"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:C."
"MT727246"	"Fagus crenata isolate 434_2 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"AB434639"	"Fagus crenata FcMYB399 gene for transcription factor MYB399, partial cds."
"AB434602"	"Fagus crenata FcMYBC10 mRNA for transcription factor MYBC10, partial cds."
"AB434608"	"Fagus crenata FcMYBD3 mRNA for transcription factor MYBD3, partial cds."
"AB434621"	"Fagus crenata FcMYBH6 mRNA for transcription factor MYBH6, partial cds."
"AB434651"	"Fagus crenata FcMYB811 gene for transcription factor MYB811, complete cds."
"AB434551"	"Fagus crenata FcMYBS6 mRNA for transcription factor MYBS6, partial cds."
"AB434599"	"Fagus crenata FcMYBC7 mRNA for transcription factor MYBC7, partial cds."
"AB043753"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC2."
"AB434549"	"Fagus crenata FcMYBS4 mRNA for transcription factor MYBS4, partial cds."
"AB434546"	"Fagus crenata FcMYBS1 mRNA for transcription factor MYBS1, partial cds."
"MT727250"	"Fagus crenata isolate 463_2 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"AB046492"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:A."
"AB441167"	"Fagus crenata CP12 mRNA for chloroplast protein 12, complete cds."
"AB046501"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype: J."
"AB434555"	"Fagus crenata FcMYBS10 mRNA for transcription factor MYBS10, partial cds."
"AB046504"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:M."
"MT727088"	"Fagus crenata isolate 463_2 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"MT727333"	"Fagus crenata isolate 463_1 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"AB434644"	"Fagus crenata FcMYB605 gene for transcription factor MYB605, partial cds."
"AB500084"	"Fagus crenata FcMYBR8 mRNA for transcription factor MYBR8, partial cds."
"AB434620"	"Fagus crenata FcMYBH5 mRNA for transcription factor MYBH5, partial cds."
"AB500076"	"Fagus crenata FcMYBR16 mRNA for transcription factor MYBR16, partial cds."
"AB500069"	"Fagus crenata FcMYBR22 mRNA for transcription factor MYBR22, partial cds."
"AB043754"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC3."
"AB434548"	"Fagus crenata FcMYBS3 mRNA for transcription factor MYBS3, partial cds."
"AB434585"	"Fagus crenata FcMYBGAL3 mRNA for transcription factor MYBGAL3, partial cds."
"AB500082"	"Fagus crenata FcMYBFL9 mRNA for transcription factor MYBFL9, partial cds."
"AB434600"	"Fagus crenata FcMYBC8 mRNA for transcription factor MYBC8, partial cds."
"AB434638"	"Fagus crenata FcMYB393 gene for transcription factor MYB393, partial cds."
"MT727086"	"Fagus crenata isolate 448_2 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"AB434565"	"Fagus crenata FcMYBS20 mRNA for transcription factor MYBS20, partial cds."
"AB434604"	"Fagus crenata FcMYBC12 mRNA for transcription factor MYBC12, partial cds."
"AB434617"	"Fagus crenata FcMYBH2 mRNA for transcription factor MYBH2, partial cds."
"AB434556"	"Fagus crenata FcMYBS11 mRNA for transcription factor MYBS11, partial cds."
"MT727084"	"Fagus crenata isolate 434_2 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"AB500080"	"Fagus crenata FcMYBFL15 mRNA for transcription factor MYBFL15, partial cds."
"AB500085"	"Fagus crenata FcMYBFL4 mRNA for transcription factor MYBFL4, partial cds."
"AB046503"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype: L."
"AB434564"	"Fagus crenata FcMYBS19 mRNA for transcription factor MYBS19, partial cds."
"AB043709"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC1."
"AB434635"	"Fagus crenata FcMYB313 gene for transcription factor MYB313, partial cds."
"MT727171"	"Fagus crenata isolate 463_1 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"MT728792"	"Fagus crenata isolate 434_2 pectinesterase-like (LOC115971324) gene, partial cds."
"MT727247"	"Fagus crenata isolate 448_1 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"AB500070"	"Fagus crenata FcMYBFL34 mRNA for transcription factor MYBFL34, partial cds."
"AB500081"	"Fagus crenata FcMYBFL3 mRNA for transcription factor MYBFL3, partial cds."
"MT728952"	"Fagus crenata isolate 448_2 hypothetical protein (LOC115958068) gene, partial cds."
"AB500079"	"Fagus crenata FcMYBST1 mRNA for transcription factor MYBST1, partial cds."
"AB434578"	"Fagus crenata FcMYBF4 mRNA for transcription factor MYBF4, partial cds."
"AB434619"	"Fagus crenata FcMYBH4 mRNA for transcription factor MYBH4, partial cds."
"AB043755"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC4a."
"AB500078"	"Fagus crenata FcMYBFL1 mRNA for transcription factor MYBFL1, partial cds."
"MT727332"	"Fagus crenata isolate 448_2 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"AB434611"	"Fagus crenata FcMYBD6 mRNA for transcription factor MYBD6, partial cds."
"AB500071"	"Fagus crenata FcMYBR7 mRNA for transcription factor MYBR7, partial cds."
"AB434598"	"Fagus crenata FcMYBC6 mRNA for transcription factor MYBC6, partial cds."
"MT727087"	"Fagus crenata isolate 463_1 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"MT727169"	"Fagus crenata isolate 448_1 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"AB434574"	"Fagus crenata FcMYBP3 mRNA for transcription factor MYBP3, partial cds."
"AB500077"	"Fagus crenata FcMYBFL8 mRNA for transcription factor MYBFL8, partial cds."
"MT728950"	"Fagus crenata isolate 434_2 hypothetical protein (LOC115958068) gene, partial cds."
"AB500074"	"Fagus crenata FcMYBR21 mRNA for transcription factor MYBR21, partial cds."
"AB434559"	"Fagus crenata FcMYBS14 mRNA for transcription factor MYBS14, partial cds."
"AB434554"	"Fagus crenata FcMYBS9 mRNA for transcription factor MYBS9, partial cds."
"AB434584"	"Fagus crenata FcMYBGAL2 mRNA for transcription factor MYBGAL2, partial cds."
"AB434652"	"Fagus crenata FcMYB828 gene for transcription factor MYB828, partial cds."
"MT728954"	"Fagus crenata isolate 463_2 hypothetical protein (LOC115958068) gene, partial cds."
"AB434633"	"Fagus crenata FcMYB275 gene for transcription factor MYB275, partial cds."
"MT728796"	"Fagus crenata isolate 463_2 pectinesterase-like (LOC115971324) gene, partial cds."
"AB043715"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC5."
"AB434581"	"Fagus crenata FcMYBF7 mRNA for transcription factor MYBF7, partial cds."
"MT727329"	"Fagus crenata isolate 434_1 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"AB043711"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC3."
"AB046495"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:D."
"AB043757"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC5."
"AB043759"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC7."
"MT727168"	"Fagus crenata isolate 434_2 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"MT728953"	"Fagus crenata isolate 463_1 hypothetical protein (LOC115958068) gene, partial cds."
"AB434628"	"Fagus crenata FcMYB303B gene for transcription factor MYB303B, partial cds."
"AB434631"	"Fagus crenata FcMYB408 gene for transcription factor MYB408, partial cds."
"AB434562"	"Fagus crenata FcMYBS17 mRNA for transcription factor MYBS17, partial cds."
