accession	description
"SRX5566348"	"Illumina HiSeq 2000 paired end sequencing; Illumina HiSeq 2000 sequencing: WGS reads of Fagus crenata: GEN-3"
"SRX14719867"	"Illumina NovaSeq 6000 paired end sequencing; Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"SRX14719821"	"Illumina NovaSeq 6000 paired end sequencing; Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"SRX14719822"	"Illumina NovaSeq 6000 paired end sequencing; Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"DRX012468"	"Illumina HiSeq 2000 sequencing: SuperSAGE analysis between nitrogen fertilized samples and control in Fagus crenata"
"SRX5406825"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-9"
"SRX5406826"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-8"
"SRX5406827"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-6"
"SRX5406821"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-10"
"SRX5406822"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-9"
"SRX5406823"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-7"
"SRX5406824"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-6"
"SRX5406828"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-10"
"SRX5406829"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-8"
"SRX5406830"	"Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-7"
"DRX181300"	"Illumina NovaSeq 6000 paired end sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00184898"
"ERX2808498"	"HiSeq X Ten paired end sequencing"
"DRX440072"	"PromethION sequencing: PromethION sequencing of SAMD00184898"
"DRX523701"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760304"
"DRX523703"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760306"
"DRX523704"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760307"
"DRX523705"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760308"
"DRX523707"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760310"
"DRX523708"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760311"
"DRX523710"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760313"
"DRX523702"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760305"
"DRX523706"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760309"
"DRX523709"	"DNBSEQ-T7 paired end sequencing; DNBSEQ-T7 sequencing: DNBSEQ-T7 paired end sequencing of SAMD00760312"
"SRX9596362"	"Illumina MiSeq paired end sequencing; Illumina MiSeq sequencing: HTS of 5S-IGS"
