sample_accession,sample_description,tax_id,age,altitude,assembly_quality,assembly_software,binning_software,bio_material,broad_scale_environmental_context,broker_name,cell_line,cell_type,center_name,checklist,collected_by,collection_date,collection_date_end,collection_date_start,completeness_score,contamination_score,country,cultivar,culture_collection,datahub,depth,description,dev_stage,disease,ecotype,elevation,environment_biome,environment_feature,environment_material,environmental_medium,environmental_sample,experimental_factor,first_public,germline,host,host_body_site,host_genotype,host_gravidity,host_growth_conditions,host_phenotype,host_scientific_name,host_sex,host_status,host_tax_id,identified_by,investigation_type,isolate,isolation_source,keywords,last_updated,lat,local_environmental_context,location,location_end,location_start,lon,marine_region,mating_type,ncbi_reporting_standard,ph,project_name,protocol_label,related_sample_accession,salinity,sample_alias,sample_capture_status,sample_collection,sample_material,sample_title,sampling_campaign,sampling_platform,sampling_site,scientific_name,secondary_sample_accession,sequencing_method,serotype,serovar,sex,specimen_voucher,status,strain,study_accession,sub_species,sub_strain,submission_accession,submission_tool,submitted_host_sex,tag,target_gene,tax_lineage,taxonomic_classification,taxonomic_identity_marker,temperature,tissue_lib,tissue_type,variety
SAMN00176614,Fagus sylvatica ozone regulated SSH library,28930,,,,,,,,,,,GSF,,,,,,,,,,,,,Fagus sylvatica ozone regulated SSH library,,,,,,,,,,,2005-10-14,,,,,,,,,,,,,,,,,2015-05-19,,,,,,,,,Generic,,,,,,SAMN00176614,,,,Fagus sylvatica ozone regulated SSH library,,,,Fagus sylvatica,,,,,,,public,,,,,,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,leaf,
SAMD00184898,Keywords: GSC:MIxS MIGS:6.0,28929,,,,,,,urban biome,DDBJ,,,"Graduate School and Faculty of Bioresources, Mie University",,,2018-04-05,2018-04-05,2018-04-04,,,"Japan:Mie, Tsu, Mie University",,,,,Keywords: GSC:MIxS MIGS:6.0,,,,,urban biome,botanical garden,,,,,2020-08-18,,,,,,,,,,,,,,MieU_EA384,,,2024-06-26,34.74,botanical garden,34.74 N 136.52 E,34.74 N 136.52 E,34.74 N 136.52 E,136.52,,,MIGS.eu,,Whole genome sequencing of Fagus crenata,,,,SAMD00184898,,,,Whole-genome,,,,Fagus crenata,DRS149559,,,,,,public,,PRJDB8757,,,DRA016032,,,env_geo;env_geo:terrestrial,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28929,,,,,,
SAMEA112885643,pool of intermediated trees (pole) from population KST,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of intermediated trees (pole) from population KST,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,KST_SH,,,,KST_SH,,,,Fagus sylvatica,ERS14892083,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885644,pool of trees with stem from population LAN,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees with stem from population LAN,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,LAN_BA,,,,LAN_BA,,,,Fagus sylvatica,ERS14892084,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885646,pool of intermediated trees (pole) from population LAN,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of intermediated trees (pole) from population LAN,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,LAN_SH,,,,LAN_SH,,,,Fagus sylvatica,ERS14892086,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885648,pool of trees from population Marxzell,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees from population Marxzell,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,Bu_2106,,,,Bu_2106,,,,Fagus sylvatica,ERS14892088,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885649,pool of trees from population Langenbrettach,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees from population Langenbrettach,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,Bu_2107,,,,Bu_2107,,,,Fagus sylvatica,ERS14892089,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885652,pool of trees from population Seilershausen,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees from population Seilershausen,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,Bu_2202,,,,Bu_2202,,,,Fagus sylvatica,ERS14892092,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885653,pool of trees from population Ulm,28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees from population Ulm,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,Bu_2204,,,,Bu_2204,,,,Fagus sylvatica,ERS14892093,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA112885654,pool of trees from population Karlstadt (Arnstein),28930,,,,,,,,,,,Senckenber Biodiversity and Climate Research Centre Frankfurt,ERC000011,,,,,,,,,,,,pool of trees from population Karlstadt (Arnstein),,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,Bu_2209,,,,Bu_2209,,,,Fagus sylvatica,ERS14892094,,,,,,public,,PRJEB60881,,,ERA21801262,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,,
SAMEA12884752,Fagus sylvatica (Indiv525 - Revertant1),28930,,,,,,,,,,,GSC,ERC000011,,2019-04,2019-04-30,2019-03-31,,,France: Verzy Forest;Champagne;49.144208 N 4.1627125 E,,,,,Fagus sylvatica (Indiv525 - Revertant1),,,Verzy Forest,,,,,,,,2022-02-10,,,,,,,,,,,,,,525R1,,,2022-02-10,,,,,,,,,,,,,,,sample_CRK_28930_15_525R,,,,Indiv525 - Revertant1,,,,Fagus sylvatica,ERS10483631,,,,,,public,,PRJEB50800,,,ERA8915350,,,,,1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;3502;3503;21024;28930,,,,,ecodormant buds,
