sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMD00592139		Whole-genome					Whole-genome	Japan:Mie, Tsu, Mie University					
SAMEA112885642	ERA21801262	pool of young trees from population KST		PRJEB60881			KST_JD						
SAMEA112885645	ERA21801262	pool of young trees from population LAN		PRJEB60881			LAN_JD						
SAMEA112885658	ERA21801262	pool of trees from population Mockrehna (marginal)		PRJEB60881			Bu_2411						
SAMEA112896192	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	HEW16		S3_S7						
SAMEA112896194	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	SEW34		S5_S9						
SAMEA112896196	ERA21824932	Protocols: Per plant: harvest of fine roots (< 2mm diameter) in the field, froozen in liquid nitrogen and transport to the lab on dry ice. Storage at -80°C until RNA extraction environmental samples Total RNA was extracted using the protocol of Chang S, Puryear J, Cairney J (1993, A simple and efficient method for isolating RNA from pine trees. Plant Mol Biol Rep 11:113–116). The RNA of four samples was pooled. The cDNA libraries were prepared using NEBNext Ultra RNA Library Prep Kit for Illumina (New England BioLabs, Frankfurt am Main, Germany) according to the manufactorer´s protocol		PRJEB61297	SEW37		S7_S11						
SAMEA1130628		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130629		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130630		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
SAMEA1130631		A coefficient of variation about all microarrays of one time point was calculated using Acuity 4.0 microarray informatics software [Axon Instruments]. We used only those spots that had a coefficient of variation < 50 and were present on at least half of identical slides. We express the median values as log2 ratios.											
